,SECRETARIA,CODIGO_INSTITUCION,NOMBRE_INSTITUCION,COD_DPTO,DEPARTAMENTO,COD_MPIO,MUNICIPIO,NATURALEZA,CERTIFICADO_CALIDAD,LAT,LNG
0,secretaria de educacion municipal de cucuta,8153,instituto de educacion para el trabajo y desarrollo humano chipolos,54,norte de santander,54001,cucuta,privada,no,7.9075,-72.5047
1,secretaria de educacion municipal de florencia,7546,corporacion universitaria minuto de dios,18,caqueta,18001,florencia,privada,no,1.6142,-75.6117
2,secretaria de educacion municipal de florencia,7546,corporacion universitaria minuto de dios,18,caqueta,18001,florencia,privada,no,1.6822,-77.0722
3,secretaria de educacion departamental cundinamarca,3920,corporacion educativa instituto tecnico insetec,25,cundinamarca,25430,madrid,privada,no,4.7306,-74.2639
4,secretaria de educacion departamental nariño,5034,ceinfos,52,nariño,52885,yacuanquer,privada,no,1.115,-77.4022
5,secretaria de educacion municipal de florencia,7635,instituto para la formacion y proyeccion de talento humano inforph,18,caqueta,18001,florencia,privada,no,1.6142,-75.6117
6,secretaria de educacion municipal de florencia,7635,instituto para la formacion y proyeccion de talento humano inforph,18,caqueta,18001,florencia,privada,no,1.6822,-77.0722
7,secretaria de educacion municipal de florencia,1015,escuela colombiana de ciencias en salud florencia ecsalud zomac s.a.s.,18,caqueta,18001,florencia,privada,no,1.6142,-75.6117
8,secretaria de educacion municipal de florencia,1015,escuela colombiana de ciencias en salud florencia ecsalud zomac s.a.s.,18,caqueta,18001,florencia,privada,no,1.6822,-77.0722
9,secretaria de educacion municipal de medellin,5846,centro de ciencia y sensibilizacion ambiental,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
10,secretaria de educacion distrito bogota,396,fundacion centro electronico de idiomas funcei,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
11,secretaria de educacion municipal de buenaventura,6786,corporacion escuela superior de administracion y estudios tecnologicos,76,valle del cauca,76109,buenaventura,privada,no,3.8772,-77.0267
12,secretaria de educacion departamental casanare,9085,escuela de formacion empresarial efe,85,casanare,85010,aguazul,privada,no,5.1689,-72.5467
13,secretaria de educacion departamental cordoba,7046,"centro de estudios tecnicos ""ceprodent""",23,cordoba,23672,san antero,privada,no,9.3775,-75.7603
14,secretaria de educacion municipal de yopal,6829,fundacion tecnica de colombia,85,casanare,85001,yopal,privada,no,5.3306,-72.3906
15,secretaria de educacion distrito bogota,9131,institucion de educacion para el trabajo y el desarrollo humano corpoiberoamericana s.a.s,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
16,secretaria de educacion municipal de pasto,9498,politecnico andino de colombia sas,52,nariño,52001,pasto,privada,no,1.2136,-77.2811
17,secretaria de educacion municipal de cali,2680,corporacion universal de los andes-cua,76,valle del cauca,76001,cali,privada,si,3.44,-76.5197
18,secretaria de educacion departamental cordoba,6340,"instituto de educacion para el trabajo  y el desarrollo humano ""sistec""",23,cordoba,23466,montelibano,privada,no,7.9711,-75.4181
19,secretaria de educacion municipal de barrancabermeja,9230,instituto tecnico quallta s.a.s,68,santander,68081,barrancabermeja,privada,no,7.0675,-73.8472
20,secretaria de educacion departamental norte de santander,7563,capacitaciones intelcoc instituto tecnico laboral competitivo de colombia,54,norte de santander,54518,pamplona,privada,no,7.3761,-72.6483
21,secretaria de educacion distrito barranquilla,8277,universidad universidad simon bolivar,8,atlantico,8001,barranquilla,privada,no,10.9639,-74.7964
22,secretaria de educacion departamental bolivar,9469,"instituto de enseñanza y capacitacion tecnica de la sabana ""idectsa"" - montecristo",13,bolivar,13458,montecristo,privada,no,8.2958,-74.4728
23,secretaria de educacion municipal de maicao,8715,centro iberoamericano de estudios tecnico laboral,44,la guajira,44430,maicao,privada,no,11.3778,-72.2414
24,secretaria de educacion distrito santa marta,6635,instituto darseini,47,magdalena,47001,santa marta,privada,no,11.2361,-74.2017
25,secretaria de educacion municipal de pereira,7362,rodrigo arenas betancurt,66,risaralda,66001,pereira,oficial,no,4.8143,-75.6946
26,secretaria de educacion municipal de palmira,1584,centro de asistencias tecnicas empresariales ¨centra 2000 eat¨,76,valle del cauca,76520,palmira,privada,no,3.5394,-76.3036
27,secretaria de educacion distrito bogota,9152,unipanamericana fundacion universitaria panamericana,11,bogota d.c.,11001,bogota,privada,si,4.6126,-74.0705
28,secretaria de educacion municipal de soledad,9477,instituto tècnico neten,8,atlantico,8758,soledad,privada,no,10.92,-74.77
29,secretaria de educacion departamental santander,1674,instituto andino,68,santander,68077,barbosa,privada,no,6.4375,-75.3306
30,secretaria de educacion departamental santander,1674,instituto andino,68,santander,68077,barbosa,privada,no,5.9331,-73.6147
31,secretaria de educacion municipal de palmira,9258,instituto basis,76,valle del cauca,76520,palmira,privada,no,3.5394,-76.3036
32,secretaria de educacion departamental de antioquia,5915,fundacion escuela colombiana de mercadotecnia - escolme,5,antioquia,5761,sopetran,privada,no,6.5017,-75.7433
33,secretaria de educacion municipal de facatativa,4535,escuela colombiana de belleza,25,cundinamarca,25269,facatativa,privada,no,4.8147,-74.3553
34,secretaria de educacion distrito bogota,6175,institucion educativa tulio ospina,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
35,secretaria de educacion municipal de buenaventura,3593,"instituto superior de profesionales del valle del cauca ""inprovallec s.a""",76,valle del cauca,76109,buenaventura,privada,no,3.8772,-77.0267
36,secretaria de educacion municipal de duitama,7303,tell me the way,15,boyaca,15238,duitama,privada,si,5.8219,-73.0297
37,secretaria de educacion municipal de villavicencio,3605,indeco,50,meta,50001,villavicencio,privada,no,4.1425,-73.6294
39,secretaria de educacion municipal de quibdo,8484,cedenorte institucion tecnica - seccional quibdo,27,choco,27001,quibdo,privada,no,5.6923,-76.6582
40,secretaria de educacion distrito cartagena,2880,academia de belleza estetica francesa,13,bolivar,13001,cartagena,privada,no,10.4236,-75.5253
41,secretaria de educacion distrito bogota,3707,alianza colombo francesa,11,bogota d.c.,11001,bogota,privada,si,4.6126,-74.0705
42,secretaria de educacion distrito barranquilla,7774,corporacion educativa chacon coech,8,atlantico,8001,barranquilla,privada,no,10.9639,-74.7964
43,secretaria de educacion municipal de pasto,8803,centro tecnico educativo sagrado corazon de maria - cescom,52,nariño,52001,pasto,privada,no,1.2136,-77.2811
44,secretaria de educacion departamental nariño,7099,centro de estudios profesionales andino,52,nariño,52399,la union,privada,no,4.5331,-76.1006
45,secretaria de educacion departamental nariño,7099,centro de estudios profesionales andino,52,nariño,52399,la union,privada,no,1.6053,-77.1297
46,secretaria de educacion departamental nariño,7099,centro de estudios profesionales andino,52,nariño,52399,la union,privada,no,5.9728,-75.3611
47,secretaria de educacion departamental nariño,7099,centro de estudios profesionales andino,52,nariño,52399,la union,privada,no,8.8572,-75.2767
48,secretaria de educacion departamental la guajira,5634,"instituto nacional centro de sistemas ""system center"" - san juan",44,la guajira,44650,san juan del cesar,privada,no,10.7708,-73.0031
49,secretaria de educacion departamental magdalena,6424,corporacion educativa para el trabajo y el desarrollo de la costa atlantica c-educa,47,magdalena,47288,fundacion,privada,no,10.5172,-74.1922
50,secretaria de educacion municipal de fusagasuga,1783,"fundacion de educacion  en salud marie poussepin "" formasalud""",25,cundinamarca,25290,fusagasuga,privada,no,4.3372,-74.3644
51,secretaria de educacion departamental caldas,9602,empresa de educacion isi s.a.s,17,caldas,17614,riosucio,privada,no,5.4208,-75.7028
52,secretaria de educacion departamental caldas,9602,empresa de educacion isi s.a.s,17,caldas,17614,riosucio,privada,no,7.4386,-77.1133
53,secretaria de educacion departamental cesar,7322,escuela de educacion de colombia esesco - astrea,20,cesar,20032,astrea,privada,no,9.4969,-73.9761
54,secretaria de educacion municipal de yopal,8449,institucion de educacion para el trabajo y desarrollo humano mundo stilos,85,casanare,85001,yopal,privada,no,5.3306,-72.3906
55,secretaria de educacion departamental cauca,6097,escuela de formacion tecnica laboral santander,19,cauca,19698,santander de quilichao,privada,no,3.0083,-76.4839
56,secretaria de educacion departamental santander,5870,corporacion unidades tecnicas de colombia - utc,68,santander,68655,sabana de torres,privada,no,7.3903,-73.5003
57,secretaria de educacion departamental norte de santander,9306,ietdh instituto tecnico laboral y empresarial comfanorte pamplona,54,norte de santander,54518,pamplona,privada,no,7.3761,-72.6483
58,secretaria de educacion municipal de medellin,9099,cedenorte institucion tecnica seccional medellin,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
59,secretaria de educacion municipal de sincelejo,4505,corporacion bioestetica centro de enseñanza,70,sucre,70001,sincelejo,privada,si,9.2994,-75.3958
60,secretaria de educacion municipal de rionegro,8901,universidad catolica de oriente - uco,5,antioquia,5615,rionegro,privada,no,6.1551,-75.3737
61,secretaria de educacion municipal de rionegro,8901,universidad catolica de oriente - uco,5,antioquia,5615,rionegro,privada,no,7.2646,-73.1501
62,secretaria de educacion distrito bogota,8930,institucion de educacion para el trabajo y el desarrollo humano kuepa sede restrepo,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
63,secretaria de educacion distrito bogota,1378,instituto de ventas y mercadeo pedro h morales,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
64,secretaria de educacion municipal de zipaquira,6387,"instituto educativo para el desarrollo humano,   humanarte",25,cundinamarca,25899,zipaquira,privada,no,5.0247,-74.0014
65,secretaria de educacion distrito bogota,4771,corporacion tecnologica empresarial-kennedy,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
66,secretaria de educacion municipal de soledad,9277,corporacion educativa tecnica de colombia corpetec,8,atlantico,8758,soledad,privada,no,10.92,-74.77
67,secretaria de educacion departamental bolivar,7980,"fundacion nacional para el desarrollo tecnico, tecnologico  y comunitario de colombia - fundetec",13,bolivar,13244,el carmen de bolivar,privada,no,9.7167,-75.1167
68,secretaria de educacion distrito bogota,4083,fenalco bogota direccion de capacitacion,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
69,secretaria de educacion distrito santa marta,6415,academia de belleza la costa,47,magdalena,47001,santa marta,privada,no,11.2361,-74.2017
70,secretaria de educacion municipal de pereira,7051,idiomas academia,66,risaralda,66001,pereira,privada,no,4.8143,-75.6946
71,secretaria de educacion distrito bogota,9373,centro de estudio paulo freire,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
72,secretaria de educacion departamental cundinamarca,4809,politecnico atenas,25,cundinamarca,25297,gacheta,privada,no,4.8164,-73.6361
73,secretaria de educacion municipal de soacha,3959,fundacion san mateo,25,cundinamarca,25754,soacha,privada,no,4.5781,-74.2144
74,secretaria de educacion departamental atlantico,4727,centro de informatica del caribe ltda de sabanalarga,8,atlantico,8638,sabanalarga,privada,no,10.63,-74.9236
75,secretaria de educacion departamental atlantico,4727,centro de informatica del caribe ltda de sabanalarga,8,atlantico,8638,sabanalarga,privada,no,6.8489,-75.8171
76,secretaria de educacion departamental atlantico,4727,centro de informatica del caribe ltda de sabanalarga,8,atlantico,8638,sabanalarga,privada,no,4.8543,-73.04
77,secretaria de educacion municipal de popayan,5692,centro de servicios y capacitacion comfacauca,19,cauca,19001,popayan,privada,no,2.4411,-76.6061
78,secretaria de educacion municipal de soledad,8564,"instituto tecnico triunfar ""intet""",8,atlantico,8758,soledad,privada,no,10.92,-74.77
79,secretaria de educacion municipal de girardot,9233,instituto de formacion academica basica complementaria - ifabc,25,cundinamarca,25307,girardot,privada,no,4.3036,-74.8039
80,secretaria de educacion departamental cesar,7518,"instituto tecnico del norte ""itn""",20,cesar,20238,el copey,privada,no,10.1489,-73.96
81,secretaria de educacion departamental cauca,7943,instituto tecnico laboral alhersan,19,cauca,19548,piendamo,privada,no,2.6479,-76.5348
82,secretaria de educacion distrito bogota,231,instituto triangulo patio bonito,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
84,secretaria de educacion distrito bogota,9479,escuela nacional de cine chapinero,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
85,secretaria de educacion distrito barranquilla,8049,escuela gastronomica chef caparroso,8,atlantico,8001,barranquilla,privada,no,10.9639,-74.7964
86,secretaria de educacion distrito bogota,1059,academia tecnica de belleza,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
87,secretaria de educacion municipal de villavicencio,6062,"progreso empresarial ""proem""",50,meta,50001,villavicencio,privada,no,4.1425,-73.6294
88,secretaria de educacion municipal de cucuta,7287,fundacion tecnica de colombia,54,norte de santander,54001,cucuta,privada,si,7.9075,-72.5047
89,secretaria de educacion departamental cordoba,6351,"centro de estudios tecnicos ""ceprodent""",23,cordoba,23574,puerto escondido,privada,no,9.0192,-76.2614
90,secretaria de educacion municipal de lorica,5523,"instituto tecnico de la costa ""insteco""",23,cordoba,23417,lorica,privada,no,9.2419,-75.816
91,secretaria de educacion municipal de medellin,9424,fundacion universitaria maria cano,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
92,secretaria de educacion municipal de bucaramanga,7039,corporacion universitaria de investigacion y desarrollo - udi - instituto de lenguas,68,santander,68001,bucaramanga,privada,no,7.1186,-73.1161
93,secretaria de educacion municipal de bucaramanga,9031,instituto de formacion empresarial fenalco santander,68,santander,68001,bucaramanga,privada,no,7.1186,-73.1161
94,secretaria de educacion municipal de tunja,1877,"escuela y taller de capacitacion en salud del nororiente ""norsalud""",15,boyaca,15001,tunja,privada,no,5.5403,-73.3614
95,secretaria de educacion municipal de maicao,9555,escuela de negocios eadi,44,la guajira,44430,maicao,privada,no,11.3778,-72.2414
96,secretaria de educacion municipal de tulua,2749,"taller odontologico y de mecanica dental ""tomedent""",76,valle del cauca,76834,tulua,privada,no,4.0847,-76.1986
97,secretaria de educacion departamental nariño,7609,instituto de capacitacion en areas administrativas y sistemas incaas,52,nariño,52352,iles,privada,no,0.9706,-77.5208
98,secretaria de educacion municipal de ibague,5904,fundacion colombo americano  ibague,73,tolima,73001,ibague,privada,si,4.4378,-75.2006
99,secretaria de educacion municipal de buenaventura,4769,institucion educativa para el trabajo y el desarrollo humano san buenaventura,76,valle del cauca,76109,buenaventura,privada,no,3.8772,-77.0267
100,secretaria de educacion departamental cundinamarca,4255,fundacion escuela de enfermeria de ubate-sede pacho,25,cundinamarca,25513,pacho,privada,no,5.1328,-74.1598
101,secretaria de educacion municipal de sabaneta,9592,fundacion universitaria ceipa,5,antioquia,5631,sabaneta,privada,no,6.1508,-75.615
102,secretaria de educacion distrito bogota,4648,institucion de educacion para el trabajo y el desarrollo humano cenescala (centro nacional de estudios y capacitacion laboral),11,bogota d.c.,11001,bogota,privada,si,4.6126,-74.0705
103,secretaria de educacion distrito cartagena,6820,instituto internacional de idiomas y turismo stephen krashen,13,bolivar,13001,cartagena,privada,no,10.4236,-75.5253
104,secretaria de educacion distrito bogota,403,academia de belleza europea,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
105,secretaria de educacion departamental putumayo,7696,politecnico nacional de artes y oficios ponao,86,putumayo,86001,mocoa,privada,no,1.1492,-76.6464
106,secretaria de educacion departamental cordoba,8414,corporacion educativa de cordoba,23,cordoba,23182,chinu,privada,no,9.1097,-75.3981
107,secretaria de educacion municipal de cali,3308,instituto de educacion tecnica cafor,76,valle del cauca,76001,cali,privada,no,3.44,-76.5197
108,secretaria de educacion distrito barranquilla,9526,corporacion tecnica aprendiendo,8,atlantico,8001,barranquilla,privada,no,10.9639,-74.7964
109,secretaria de educacion municipal de barrancabermeja,2456,sistemas interactivos de colombia barrancabermeja ltda,68,santander,68081,barrancabermeja,privada,no,7.0675,-73.8472
110,secretaria de educacion distrito bogota,7947,instituto educativo eneaudio nyd,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
111,secretaria de educacion departamental valle,8037,instituto global technical study corporation gts,76,valle del cauca,76400,la union,privada,no,4.5331,-76.1006
112,secretaria de educacion departamental valle,8037,instituto global technical study corporation gts,76,valle del cauca,76400,la union,privada,no,1.6053,-77.1297
113,secretaria de educacion departamental valle,8037,instituto global technical study corporation gts,76,valle del cauca,76400,la union,privada,no,5.9728,-75.3611
114,secretaria de educacion departamental valle,8037,instituto global technical study corporation gts,76,valle del cauca,76400,la union,privada,no,8.8572,-75.2767
115,secretaria de educacion municipal de cucuta,5574,viila santander,54,norte de santander,54001,cucuta,privada,no,7.9075,-72.5047
116,secretaria de educacion municipal de mosquera,6663,centro salesiano san jose,25,cundinamarca,25473,mosquera,privada,no,4.7078,-74.2328
117,secretaria de educacion municipal de mosquera,6663,centro salesiano san jose,25,cundinamarca,25473,mosquera,privada,no,2.5078,-78.4517
118,secretaria de educacion distrito bogota,7927,centro de estudios e investigacion meicol,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
119,secretaria de educacion departamental de antioquia,8464,institucion tecnica unidos por antioquia,5,antioquia,5101,ciudad bolivar,privada,no,5.8494,-76.0203
120,secretaria de educacion distrito bogota,9374,academia francesa de estilistas,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
121,secretaria de educacion distrito bogota,4866,academia de belleza panamericana,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
122,secretaria de educacion departamental cundinamarca,7798,universitec de colombia,25,cundinamarca,25817,tocancipa,privada,no,4.9661,-73.9111
123,secretaria de educacion distrito barranquilla,7840,centro avanzado de desarrollo educativo - cavades,8,atlantico,8001,barranquilla,privada,no,10.9639,-74.7964
124,secretaria de educacion departamental cordoba,5107,"instituto de capacitacion y formacion educativa ""systecom""",23,cordoba,23068,ayapel,privada,no,8.3125,-75.145
125,secretaria de educacion distrito bogota,4603,medised   institucion de educacion para el trabajo y el desarrollo humano,11,bogota d.c.,11001,bogota,privada,si,4.6126,-74.0705
126,secretaria de educacion distrito santa marta,9058,instituto biblico gracia divina,47,magdalena,47001,santa marta,privada,no,11.2361,-74.2017
127,secretaria de educacion municipal de soacha,9208,corporacion para el desarrollo integral-corposocial,25,cundinamarca,25754,soacha,privada,no,4.5781,-74.2144
128,secretaria de educacion departamental cundinamarca,7984,fundacion educativa construyendo futuro cf ¨fundecof,25,cundinamarca,25758,sopo,privada,no,4.9081,-73.9403
129,secretaria de educacion distrito bogota,5464,corporacion educativa britamerican,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
130,secretaria de educacion municipal de jamundi,5521,centro colombiano de estudios tecnicos ccoet,76,valle del cauca,76364,jamundi,privada,no,3.2608,-76.5394
131,secretaria de educacion municipal de pitalito,5646,eagle institute s.a.s,41,huila,41551,pitalito,privada,no,1.8539,-76.0514
132,secretaria de educacion municipal de ibague,4109,nt instituto de ingles s.a.s,73,tolima,73001,ibague,privada,no,4.4378,-75.2006
133,secretaria de educacion municipal de monteria,3137,edutra s.a.s.,23,cordoba,23001,monteria,privada,no,8.76,-75.8856
134,secretaria de educacion municipal de girardot,8328,politecnico iberoamericano ibercentro ift,25,cundinamarca,25307,girardot,privada,no,4.3036,-74.8039
135,secretaria de educacion municipal de cali,2692,fundacion escuela taller de arte boteritos,76,valle del cauca,76001,cali,privada,no,3.44,-76.5197
136,secretaria de educacion municipal de palmira,4258,centro de estudio ocupacional ceo,76,valle del cauca,76520,palmira,privada,no,3.5394,-76.3036
137,secretaria de educacion municipal de cucuta,533,tecnisalud ltda,54,norte de santander,54001,cucuta,privada,no,7.9075,-72.5047
138,secretaria de educacion departamental cundinamarca,7787,centro sofia koppel,25,cundinamarca,25183,choconta,privada,no,5.1467,-73.6825
139,secretaria de educacion municipal de tunja,1808,instituto  de educacion para el trabajo y el desarrollo humano de colamerica,15,boyaca,15001,tunja,privada,no,5.5403,-73.3614
140,secretaria de educacion municipal de duitama,4873,centro educativo hispanoamericano de salud cehis,15,boyaca,15238,duitama,privada,no,5.8219,-73.0297
141,secretaria de educacion municipal de envigado,6158,colombo americano de medellin,5,antioquia,5266,envigado,privada,si,6.1719,-75.5803
142,secretaria de educacion municipal de cucuta,6970,edunorte cucuta s.a.s,54,norte de santander,54001,cucuta,privada,no,7.9075,-72.5047
143,secretaria de educacion distrito bogota,412,academia francesa de la imagen,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
144,secretaria de educacion departamental magdalena,7161,central corporation advanced business-corbac,47,magdalena,47288,fundacion,privada,no,10.5172,-74.1922
145,secretaria de educacion distrito bogota,8173,corporacion de educacion tecnologica colsubsidio -airbus group engativa,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
146,secretaria de educacion municipal de cali,3293,corporacion giq sede norte,76,valle del cauca,76001,cali,privada,no,3.44,-76.5197
147,secretaria de educacion distrito cartagena,8596,centro de entrenamiento logistico y portuario,13,bolivar,13001,cartagena,privada,no,10.4236,-75.5253
148,secretaria de educacion departamental caldas,9115,corporacion educativa progresar caldas de colombia coedpro,17,caldas,17873,villamaria,privada,no,5.0456,-75.5153
149,secretaria de educacion departamental cordoba,4280,"instituto de enseñanza y capacitacion de la costa ""ideco""",23,cordoba,23807,tierralta,privada,no,8.1728,-76.0594
150,secretaria de educacion municipal de palmira,5900,instituto de educacion comfenalco valle,76,valle del cauca,76520,palmira,privada,no,3.5394,-76.3036
151,secretaria de educacion municipal de zipaquira,9612,project and business colombia sas,25,cundinamarca,25899,zipaquira,privada,no,5.0247,-74.0014
152,secretaria de educacion municipal de popayan,8809,centro tecnico de belleza- centerbell,19,cauca,19001,popayan,privada,no,2.4411,-76.6061
153,secretaria de educacion municipal de cucuta,6528,escuela de formacion para el trabajo y el desarrollo humano amalthea,54,norte de santander,54001,cucuta,privada,no,7.9075,-72.5047
154,secretaria de educacion municipal de girardot,9175,proyectos e inversiones dinamica  sas.,25,cundinamarca,25307,girardot,privada,no,4.3036,-74.8039
155,secretaria de educacion municipal de yumbo,8953,instituto tecnico de educacion laboral y mecanica de occidente,76,valle del cauca,76892,yumbo,privada,no,3.5778,-76.4944
156,secretaria de educacion municipal de malambo,9450,"institucion educativa para el trabajo y desarrollo humano: ""funcedieh"" fundacion centro educativo para el desarrollo integral y la excelencia humana""",8,atlantico,8433,malambo,privada,no,10.8595,-74.7739
157,secretaria de educacion municipal de popayan,9162,centro latinoamericano de educacion intermedia,19,cauca,19001,popayan,privada,no,2.4411,-76.6061
158,secretaria de educacion municipal de pereira,5099,escuela gastronomica de occidente  eje cafetero ego cafe,66,risaralda,66001,pereira,privada,no,4.8143,-75.6946
159,secretaria de educacion departamental risaralda,5348,corporacion de estudios tecnicos wes (world educational service),66,risaralda,66682,santa rosa de cabal,privada,no,4.8672,-75.6211
160,secretaria de educacion municipal de tunja,5427,alianza colombo francesa bogota8,15,boyaca,15001,tunja,privada,no,5.5403,-73.3614
161,secretaria de educacion municipal de manizales,1289,unitecnica manizales s.a.s,17,caldas,17001,manizales,privada,si,5.0661,-75.4847
162,secretaria de educacion distrito bogota,339,educacion futuro,11,bogota d.c.,11001,bogota,privada,si,4.6126,-74.0705
163,secretaria de educacion distrito bogota,5205,wall  street english sede  la colina,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
164,secretaria de educacion municipal de tumaco,4224,fundacion unidad tecnologica del sur,52,nariño,52835,tumaco,privada,no,1.8067,-78.7647
165,secretaria de educacion distrito bogota,7965,centro de idiomas tu pasaporte al mundo,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
166,secretaria de educacion departamental meta,9482,"institucion de educacion para el trabajo y el desarrollo humano de formacion tecnica ""inefot""",50,meta,50006,acacias,privada,no,3.9889,-73.7647
167,secretaria de educacion departamental valle,7717,instituto tecnico empresarial andres bello -ite,76,valle del cauca,76306,ginebra,privada,no,3.7244,-76.2672
168,secretaria de educacion municipal de riohacha,4507,system center colombia sas,44,la guajira,44001,riohacha,privada,no,11.5442,-72.9069
169,secretaria de educacion municipal de riohacha,8315,corporacion de educacion del oriente - corporiente,44,la guajira,44001,riohacha,privada,no,11.5442,-72.9069
170,secretaria de educacion municipal de palmira,5889,educacion para el trabajo y el desarrollo humano gar s.a.s.,76,valle del cauca,76520,palmira,privada,no,3.5394,-76.3036
171,secretaria de educacion municipal de bello,6626,academia colombiana de estetica y peluqueria acep bello,5,antioquia,5088,bello,privada,no,6.3319,-75.5581
172,secretaria de educacion distrito barranquilla,4486,escuela de estetica y belleza martha carbonell,8,atlantico,8001,barranquilla,privada,no,10.9639,-74.7964
173,secretaria de educacion municipal de envigado,7049,escuela de audio y sonido de colombia,5,antioquia,5266,envigado,privada,no,6.1719,-75.5803
174,secretaria de educacion distrito cartagena,6520,fundacion musica por colombia,13,bolivar,13001,cartagena,privada,no,10.4236,-75.5253
175,secretaria de educacion municipal de bucaramanga,703,"corporacion educativa para el trabajo y el desarrollo humano en salud ""corposalud""",68,santander,68001,bucaramanga,privada,si,7.1186,-73.1161
176,secretaria de educacion municipal de villavicencio,6432,jamestown english center,50,meta,50001,villavicencio,privada,si,4.1425,-73.6294
177,secretaria de educacion departamental cordoba,7683,"instituto del sur de cordoba ""indescor""",23,cordoba,23682,san jose de ure,privada,no,7.7872,-75.5331
178,secretaria de educacion departamental valle,7896,centro tecnico veterinario el corcel,76,valle del cauca,76100,bolivar,privada,no,1.8399,-76.9689
179,secretaria de educacion departamental valle,7896,centro tecnico veterinario el corcel,76,valle del cauca,76100,bolivar,privada,no,4.3387,-76.1834
180,secretaria de educacion departamental valle,7896,centro tecnico veterinario el corcel,76,valle del cauca,76100,bolivar,privada,no,5.9893,-73.7706
181,secretaria de educacion municipal de villavicencio,9254,politecnico santafe de bogota,50,meta,50001,villavicencio,privada,no,4.1425,-73.6294
182,secretaria de educacion departamental cundinamarca,8426,summerhill institute s.a.s,25,cundinamarca,25214,cota,privada,no,4.8094,-74.098
183,secretaria de educacion municipal de cali,8887,cpaai cabrera internacional s.a,76,valle del cauca,76001,cali,privada,no,3.44,-76.5197
184,secretaria de educacion municipal de cartago,8847,instituto de educacion para el trabajo y el desarrollo humano minuto de dios,76,valle del cauca,76147,cartago,privada,no,4.75,-75.91
185,secretaria de educacion municipal de cartago,8847,instituto de educacion para el trabajo y el desarrollo humano minuto de dios,76,valle del cauca,76147,cartago,privada,no,1.5514,-77.1189
186,secretaria de educacion municipal de neiva,600,centro de formaciòn empresarial comfamiliar del huila,41,huila,41001,neiva,privada,no,2.9275,-75.2875
187,secretaria de educacion municipal de girardot,1579,"fundacion de estudios tecnicos del magdalena ""fundemag""",25,cundinamarca,25307,girardot,privada,no,4.3036,-74.8039
188,secretaria de educacion departamental cauca,7827,instituto tecnico de gestion empresarial itgem,19,cauca,19212,corinto,privada,no,3.1739,-76.2594
189,secretaria de educacion municipal de cali,8653,fundacion tecnologica autonoma del pacifico,76,valle del cauca,76001,cali,privada,no,3.44,-76.5197
190,secretaria de educacion distrito bogota,6738,"escuela de administracion y formacion en salud ""esaf""",11,bogota d.c.,11001,bogota,privada,si,4.6126,-74.0705
191,secretaria de educacion municipal de florencia,7673,politecnico sur colombiano,18,caqueta,18001,florencia,privada,no,1.6142,-75.6117
192,secretaria de educacion municipal de florencia,7673,politecnico sur colombiano,18,caqueta,18001,florencia,privada,no,1.6822,-77.0722
193,secretaria de educacion municipal de apartado,6490,"centro de desarrollo empresarial y educativo camara de comercio de uraba ""cedecamara""",5,antioquia,5045,apartado,privada,si,7.883,-76.6259
194,secretaria de educacion municipal de monteria,4066,academia frederick floret,23,cordoba,23001,monteria,privada,no,8.76,-75.8856
195,secretaria de educacion distrito bogota,232,judith escuela de belleza,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
196,secretaria de educacion municipal de villavicencio,3226,centro de educacion para el desarrollo empresarial de los llanos cedellanos,50,meta,50001,villavicencio,privada,no,4.1425,-73.6294
197,secretaria de educacion municipal de yopal,4487,instituto nacional de educacion y capacitacion  inec,85,casanare,85001,yopal,privada,no,5.3306,-72.3906
198,secretaria de educacion municipal de ibague,8955,corporacion universitaria minuto de dios,73,tolima,73001,ibague,privada,no,4.4378,-75.2006
