,SECRETARIA,CODIGO_INSTITUCION,NOMBRE_INSTITUCION,COD_DPTO,DEPARTAMENTO,COD_MPIO,MUNICIPIO,NATURALEZA,CERTIFICADO_CALIDAD,LAT,LNG
1268,secretaria de educacion distrito barranquilla,614,"academia ocupacional tecnica ""aotec""",8,atlantico,8001,barranquilla,privada,no,10.9639,-74.7964
1269,secretaria de educacion departamental nariño,7412,instituto tecnico sistematizado emprendedores,52,nariño,52683,sandona,privada,no,1.2847,-77.4711
1270,secretaria de educacion municipal de villavicencio,3599,"centro de estudios tecnicos del ariari ""ceta""",50,meta,50001,villavicencio,privada,no,4.1425,-73.6294
1271,secretaria de educacion municipal de buenaventura,4807,"academia de ingles del norte ""acdin""",76,valle del cauca,76109,buenaventura,privada,no,3.8772,-77.0267
1272,secretaria de educacion municipal de neiva,854,"centro de formacion y capacitacion ""lola perdomo de lievano"" cruz roja colombiana",41,huila,41001,neiva,privada,no,2.9275,-75.2875
1273,secretaria de educacion municipal de soledad,3947,centro de carreras tecnicas cencatat,8,atlantico,8758,soledad,mixta,no,10.92,-74.77
1274,secretaria de educacion departamental sucre,9637,la nueva sabana,70,sucre,70708,san marcos,privada,no,8.6622,-75.1289
1275,secretaria de educacion distrito barranquilla,673,centro inca ltda,8,atlantico,8001,barranquilla,privada,si,10.9639,-74.7964
1276,secretaria de educacion distrito bogota,1234,escuela de salud san pedro claver,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1277,secretaria de educacion municipal de medellin,8622,colegio mayor de antioquia,5,antioquia,5001,medellin,oficial,no,6.2447,-75.5748
1278,secretaria de educacion municipal de buga,7551,instituto para el trabajo y el desarrollo humano santa teresita,76,valle del cauca,76111,guadalajara de buga,privada,no,3.9036,-76.2986
1279,secretaria de educacion municipal de turbo,8274,"instituto nacional de formacion tecnica ""infortec""",5,antioquia,5837,turbo,privada,no,8.0931,-76.7283
1280,secretaria de educacion departamental de antioquia,4347,"instituto de educacion comfenalco ""consuelo montoya gil"" andes",5,antioquia,5034,andes,privada,no,5.6556,-75.8803
1281,secretaria de educacion municipal de barrancabermeja,8053,instituto tecnico fundacion vias de desarrollo,68,santander,68081,barrancabermeja,privada,no,7.0675,-73.8472
1282,secretaria de educacion municipal de armenia,7672,fundacion por un quindio bilingue,63,quindio,63001,armenia,privada,no,4.5389,-75.6725
1283,secretaria de educacion municipal de armenia,7672,fundacion por un quindio bilingue,63,quindio,63001,armenia,privada,no,6.1564,-75.7858
1284,secretaria de educacion municipal de buenaventura,3671,fundacion ecobios,76,valle del cauca,76109,buenaventura,privada,no,3.8772,-77.0267
1285,secretaria de educacion distrito bogota,1305,politecnico industrial nueva colombia,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
1286,secretaria de educacion departamental putumayo,7299,"escuela colombiana de petroleos ""s:a:s""",86,putumayo,86885,villagarzon,privada,no,1.0294,-76.6164
1287,secretaria de educacion departamental tolima,9519,centro de entrenamiento y formacion bomberil - cefob,73,tolima,73449,melgar,privada,no,4.2039,-74.6428
