,CÓDIGO INSTITUCIÓN,NOMBRE INSTITUCIÓN,PRINCIPAL/SECCIONAL,NATURALEZA JURÍDICA,SECTOR,CARÁCTER ACADÉMICO,DEPARTAMENTO DOMICILIO,MUNICIPIO,¿ACREDITADA ALTA CALIDAD?,LAT,LNG,CONTEO
53,1722,universidad de manizales,principal,fundacion,privada,universidad,caldas,manizales,si,5.0661,-75.4847,5
54,1723,universidad pontificia bolivariana,seccional,fundacion,privada,universidad,santander,bucaramanga,si,7.1186,-73.1161,14
55,1726,universidad catolica de oriente -uco,principal,fundacion,privada,universidad,antioquia,rionegro,si,6.1551,-75.3737,2
56,1726,universidad catolica de oriente -uco,principal,fundacion,privada,universidad,antioquia,rionegro,si,7.2646,-73.1501,2
57,1727,universidad pontificia bolivariana,seccional,fundacion,privada,universidad,cordoba,monteria,si,8.76,-75.8856,3
58,1730,universidad pontificia bolivariana,seccional,fundacion,privada,universidad,valle del cauca,palmira,si,3.5394,-76.3036,4
59,1731,universidad catolica de colombia,seccional,fundacion,privada,universidad,cundinamarca,chia,no,4.8633,-74.0528,3
60,1732,universidad santo tomas,seccional,fundacion,privada,universidad,boyaca,tunja,si,5.5403,-73.3614,4
61,1733,universidad sergio arboleda,seccional,fundacion,privada,universidad,magdalena,santa marta,si,11.2361,-74.2017,3
62,1734,universidad de boyaca uniboyaca,principal,fundacion,privada,universidad,boyaca,tunja,no,5.5403,-73.3614,4
63,1802,universidad la gran colombia,seccional,corporacion,privada,universidad,quindio,armenia,no,4.5389,-75.6725,10
64,1802,universidad la gran colombia,seccional,corporacion,privada,universidad,quindio,armenia,no,6.1564,-75.7858,10
65,1804,universidad autonoma del caribe- uniautonoma,principal,corporacion,privada,universidad,atlantico,barranquilla,no,10.9639,-74.7964,16
66,1805,universidad santiago de cali,principal,corporacion,privada,universidad,valle del cauca,cali,no,3.44,-76.5197,23
67,1807,universidad libre,seccional,corporacion,privada,universidad,valle del cauca,cali,si,3.44,-76.5197,23
68,1808,universidad libre,seccional,corporacion,privada,universidad,atlantico,barranquilla,si,10.9639,-74.7964,16
69,1809,universidad libre,seccional,corporacion,privada,universidad,risaralda,pereira,si,4.8143,-75.6946,6
70,1811,universidad libre,seccional,corporacion,privada,universidad,santander,socorro,si,6.4603,-73.27,1
71,1812,universidad de medellin,principal,corporacion,privada,universidad,antioquia,medellin,si,6.2447,-75.5748,34
72,1814,universidad autonoma latinoamericana-unaula-,principal,corporacion,privada,universidad,antioquia,medellin,no,6.2447,-75.5748,34
73,1816,universidad cooperativa de colombia,seccional,corporacion,privada,universidad,antioquia,medellin,no,6.2447,-75.5748,34
74,1817,universidad cooperativa de colombia,seccional,corporacion,privada,universidad,santander,bucaramanga,no,7.1186,-73.1161,14
75,1819,universidad cooperativa de colombia,seccional,corporacion,privada,universidad,santander,barrancabermeja,no,7.0675,-73.8472,3
76,1820,universidad cooperativa de colombia,seccional,corporacion,privada,universidad,magdalena,santa marta,no,11.2361,-74.2017,3
77,1822,corporacion universidad piloto de colombia,seccional,corporacion,privada,universidad,cundinamarca,girardot,no,4.3036,-74.8039,2
