,CÓDIGO INSTITUCIÓN,NOMBRE INSTITUCIÓN,PRINCIPAL/SECCIONAL,NATURALEZA JURÍDICA,SECTOR,CARÁCTER ACADÉMICO,DEPARTAMENTO DOMICILIO,MUNICIPIO,¿ACREDITADA ALTA CALIDAD?,LAT,LNG,CONTEO
126,2832,universidad de santander - udes,principal,corporacion,privada,universidad,santander,bucaramanga,no,7.1186,-73.1161,14
127,2833,corporacion universitaria remington,principal,corporacion,privada,escuela tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
128,2836,corporacion universitaria empresarial de salamanca,principal,corporacion,privada,escuela tecnologica,atlantico,barranquilla,no,10.9639,-74.7964,16
129,2838,corporacion colegiatura colombiana,principal,corporacion,privada,escuela tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
130,2840,corporacion universitaria empresarial alexander von humboldt - cue,principal,corporacion,privada,escuela tecnologica,quindio,armenia,no,4.5389,-75.6725,10
131,2840,corporacion universitaria empresarial alexander von humboldt - cue,principal,corporacion,privada,escuela tecnologica,quindio,armenia,no,6.1564,-75.7858,10
132,2841,corporacion universitaria minuto de dios -uniminuto-,seccional,corporacion,privada,escuela tecnologica,antioquia,bello,no,6.3319,-75.5581,2
133,2842,corporacion universitaria reformada - cur -,principal,corporacion,privada,escuela tecnologica,atlantico,barranquilla,no,10.9639,-74.7964,16
134,2847,universidad de investigacion y desarrollo - udi,principal,corporacion,privada,universidad,santander,bucaramanga,no,7.1186,-73.1161,14
135,2849,corporacion universitaria autonoma del cauca,principal,corporacion,privada,escuela tecnologica,cauca,popayan,no,2.4411,-76.6061,6
136,2850,corporacion universitaria antonio jose de sucre - corposucre,principal,corporacion,privada,escuela tecnologica,sucre,sincelejo,no,9.2994,-75.3958,3
137,3102,instituto superior de educacion rural-iser-,principal,departamental,oficial,institucion tecnologica,norte de santander,pamplona,no,7.3761,-72.6483,2
138,3104,colegio mayor del cauca,principal,departamental,oficial,escuela tecnologica,cauca,popayan,no,2.4411,-76.6061,6
139,3107,institucion universitaria pascual bravo,principal,nacional,oficial,escuela tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
140,3114,escuela naval de suboficiales arc barranquilla,principal,nacional,oficial,institucion tecnologica,atlantico,barranquilla,si,10.9639,-74.7964,16
141,3115,instituto tecnologico del putumayo,principal,departamental,oficial,institucion tecnologica,putumayo,mocoa,no,1.1492,-76.6464,1
142,3116,instituto tecnologico del putumayo,seccional,departamental,oficial,institucion tecnologica,putumayo,sibundoy,no,1.2033,-76.9192,1
143,3117,institucion universitaria itsa,principal,municipal,oficial,escuela tecnologica,atlantico,barranquilla,no,10.9639,-74.7964,16
144,3201,unidades tecnologicas de santander,principal,departamental,oficial,institucion tecnologica,santander,bucaramanga,no,7.1186,-73.1161,14
145,3204,tecnologico de antioquia,principal,departamental,oficial,escuela tecnologica,antioquia,medellin,si,6.2447,-75.5748,34
146,3301,institucion universitaria antonio jose camacho,principal,municipal,oficial,escuela tecnologica,valle del cauca,cali,no,3.44,-76.5197,23
147,3302,instituto tecnologico metropolitano,principal,municipal,oficial,escuela tecnologica,antioquia,medellin,si,6.2447,-75.5748,34
148,3303,escuela superior tecnologica de artes debora arango,principal,municipal,oficial,institucion tecnologica,antioquia,envigado,no,6.1719,-75.5803,3
149,3703,institucion universitaria escolme,principal,fundacion,privada,escuela tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
150,3706,fundacion centro colombiano de estudios profesionales -f.c.e.c.e.p.,principal,fundacion,privada,institucion tecnologica,valle del cauca,cali,no,3.44,-76.5197,23
151,3715,fundacion tecnologica autonoma del pacifico,principal,fundacion,privada,institucion tecnologica,valle del cauca,cali,no,3.44,-76.5197,23
152,3716,tecnologica fitec,principal,fundacion,privada,institucion tecnologica,santander,bucaramanga,no,7.1186,-73.1161,14
153,3720,fundacion universitaria esumer,principal,fundacion,privada,escuela tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
154,3724,fundacion tecnologica de madrid,principal,fundacion,privada,institucion tecnologica,cundinamarca,madrid,no,4.7306,-74.2639,2
155,3801,corporacion de estudios tecnologicos del norte del valle,principal,corporacion,privada,institucion tecnologica,valle del cauca,cartago,no,4.75,-75.91,2
156,3801,corporacion de estudios tecnologicos del norte del valle,principal,corporacion,privada,institucion tecnologica,valle del cauca,cartago,no,1.5514,-77.1189,2
157,3802,centro educacional de computos y sistemas-cedesistemas-,principal,corporacion,privada,institucion tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
158,3803,corporacion universitaria centro superior - unicuces,principal,corporacion,privada,escuela tecnologica,valle del cauca,cali,no,3.44,-76.5197,23
159,3806,corporacion escuela superior de administracion y estudios tecnologicos- eae,principal,corporacion,privada,institucion tecnologica,valle del cauca,cali,no,3.44,-76.5197,23
160,3807,escuela de tecnologias de antioquia -eta-,principal,corporacion,privada,institucion tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
161,3810,corporacion educativa -itae-,principal,corporacion,privada,institucion tecnologica,santander,bucaramanga,no,7.1186,-73.1161,14
162,3811,corporacion de educacion del norte del tolima - coreducacion,principal,corporacion,privada,institucion tecnologica,tolima,honda,no,5.2069,-74.7367,1
163,3812,institucion universitaria marco fidel suarez - iumafis,principal,corporacion,privada,escuela tecnologica,antioquia,bello,no,6.3319,-75.5581,2
164,3817,corporacion universitaria autonoma de nariño -aunar-,principal,corporacion,privada,escuela tecnologica,nariño,pasto,no,1.2136,-77.2811,5
165,3820,corporacion academia tecnologica de colombia -atec-,principal,corporacion,privada,institucion tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
166,3821,corporacion politecnico de la costa atlantica,principal,corporacion,privada,institucion tecnologica,atlantico,barranquilla,no,10.9639,-74.7964,16
167,3831,corporacion universitaria comfacauca - unicomfacauca,principal,corporacion,privada,escuela tecnologica,cauca,popayan,no,2.4411,-76.6061,6
168,3834,corporacion tecnologica catolica de occidente - tecoc -,principal,corporacion,privada,institucion tecnologica,antioquia,santa fe de antioquia,no,6.5564,-75.8275,2
169,3901,escuela de formacion de infanteria de marina,principal,nacional,oficial,institucion tecnologica,sucre,coveñas,si,9.4014,-75.68,1
170,3902,escuela  militar de suboficiales sargento inocencio chinca,principal,nacional,oficial,institucion tecnologica,cundinamarca,nilo,no,4.3069,-74.62,1
171,4101,instituto de educacion tecnica profesional de roldanillo,principal,departamental,oficial,institucion tecnica profesional,valle del cauca,roldanillo,no,4.4136,-76.1547,1
172,4102,instituto nacional de formacion tecnica profesional de san juan del cesar,principal,nacional,oficial,institucion tecnica profesional,la guajira,san juan del cesar,no,10.7708,-73.0031,1
173,4106,instituto nacional de formacion tecnica profesional de san andres,principal,nacional,oficial,institucion tecnica profesional,archipielago de san andres providencia y santa catalina,san andres,no,12.5847,-81.7006,6
174,4106,instituto nacional de formacion tecnica profesional de san andres,principal,nacional,oficial,institucion tecnica profesional,archipielago de san andres providencia y santa catalina,san andres,no,6.9033,-75.6825,6
175,4106,instituto nacional de formacion tecnica profesional de san andres,principal,nacional,oficial,institucion tecnica profesional,archipielago de san andres providencia y santa catalina,san andres,no,6.8115,-72.8493,6
176,4107,instituto tecnico agricola ita,principal,municipal,oficial,institucion tecnica profesional,valle del cauca,guadalajara de buga,no,3.9036,-76.2986,3
177,4109,instituto tecnico nacional de comercio simon rodriguez - intenalco,principal,nacional,oficial,institucion tecnica profesional,valle del cauca,cali,no,3.44,-76.5197,23
178,4110,instituto tolimense de formacion tecnica profesional,principal,nacional,oficial,institucion tecnica profesional,tolima,espinal,no,4.1486,-74.8819,2
179,4111,instituto nacional de formacion tecnica profesional - humberto velasquez garcia,principal,departamental,oficial,institucion tecnica profesional,magdalena,cienaga,no,11.0104,-74.25,1
180,4112,colegio integrado nacional oriente de caldas - ies cinoc,principal,departamental,oficial,institucion tecnica profesional,caldas,pensilvania,no,5.384,-75.1612,1
181,4301,unidad tecnica profesional de sevilla-uniteps-,principal,municipal,oficial,institucion tecnica profesional,valle del cauca,sevilla,no,4.2642,-75.9309,1
182,4701,fundacion academia de dibujo profesional,principal,fundacion,privada,institucion tecnica profesional,valle del cauca,cali,no,3.44,-76.5197,23
183,4709,institucion universitaria eam,principal,fundacion,privada,escuela tecnologica,quindio,armenia,no,4.5389,-75.6725,10
184,4709,institucion universitaria eam,principal,fundacion,privada,escuela tecnologica,quindio,armenia,no,6.1564,-75.7858,10
185,4801,corporacion academia superior de artes,principal,corporacion,privada,institucion tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
186,4808,corporacion regional de educacion superior-cres-de cali,principal,corporacion,privada,institucion tecnica profesional,valle del cauca,cali,no,3.44,-76.5197,23
187,4811,corporacion de estudios superiores salamandra,principal,corporacion,privada,institucion tecnica profesional,valle del cauca,cali,no,3.44,-76.5197,23
188,4817,corporacion educativa del litoral,principal,corporacion,privada,institucion tecnica profesional,atlantico,barranquilla,no,10.9639,-74.7964,16
189,4818,corporacion universitaria latinoamericana - cul,principal,corporacion,privada,escuela tecnologica,atlantico,barranquilla,no,10.9639,-74.7964,16
190,4825,corporacion instituto de administracion y finanzas - ciaf,principal,corporacion,privada,institucion tecnica profesional,risaralda,pereira,no,4.8143,-75.6946,6
191,4827,corporacion educativa instituto tecnico superior de artes ideartes,principal,corporacion,privada,institucion tecnica profesional,antioquia,medellin,no,6.2447,-75.5748,34
192,4829,corporacion interamericana de educacion superior-corpocides,principal,corporacion,privada,institucion tecnica profesional,santander,bucaramanga,no,7.1186,-73.1161,14
193,4837,corporacion universitaria de ciencias empresariales educacion y salud -corsalud-,principal,corporacion,privada,escuela tecnologica,atlantico,barranquilla,no,10.9639,-74.7964,16
194,5801,corporacion escuela tecnologica del oriente,principal,corporacion,privada,escuela tecnologica,santander,bucaramanga,no,7.1186,-73.1161,14
195,9102,escuela de suboficiales de la fuerza aerea colombiana andres m. diaz,principal,nacional,oficial,institucion tecnologica,cundinamarca,madrid,si,4.7306,-74.2639,2
196,9103,escuela militar de aviacion marco fidel suarez,principal,nacional,oficial,escuela tecnologica,valle del cauca,cali,si,3.44,-76.5197,23
197,9111,servicio nacional de aprendizaje-sena-,seccional,nacional,oficial,institucion tecnologica,valle del cauca,cali,no,3.44,-76.5197,23
198,9112,servicio nacional de aprendizaje-sena-,seccional,nacional,oficial,institucion tecnologica,antioquia,medellin,no,6.2447,-75.5748,34
199,9113,servicio nacional de aprendizaje-sena-,seccional,nacional,oficial,institucion tecnologica,cundinamarca,mosquera,no,4.7078,-74.2328,2
200,9113,servicio nacional de aprendizaje-sena-,seccional,nacional,oficial,institucion tecnologica,cundinamarca,mosquera,no,2.5078,-78.4517,2
201,9114,servicio nacional de aprendizaje-sena-,seccional,nacional,oficial,institucion tecnologica,quindio,armenia,no,4.5389,-75.6725,10
202,9114,servicio nacional de aprendizaje-sena-,seccional,nacional,oficial,institucion tecnologica,quindio,armenia,no,6.1564,-75.7858,10
203,9115,servicio nacional de aprendizaje-sena-,seccional,nacional,oficial,institucion tecnologica,valle del cauca,guadalajara de buga,no,3.9036,-76.2986,3
204,9116,fundacion universitaria claretiana - uniclaretiana,principal,fundacion,privada,escuela tecnologica,choco,quibdo,no,5.6923,-76.6582,2
